measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
228.0,0.15563965,-0.0015258789,0.032348633,-66.83969,-25.221375,-54.007633,257.0,-28528.0,0.0
229.0,0.1560669,-0.010009766,0.036132812,-120.854965,-24.885496,-16.664122,257.0,-28528.0,0.0
230.0,0.15338135,-0.026550293,0.021850586,-153.32062,-23.57252,-3.465649,257.0,-28528.0,0.0
231.0,0.12792969,-0.04638672,0.023071289,-158.78625,-24.992367,-9.748092,257.0,-28528.0,0.0
232.0,0.11462402,-0.055114746,0.014892578,-120.862595,-19.145039,-31.167938,257.0,-28528.0,0.0
233.0,0.107055664,-0.0423584,0.026733398,-58.954197,-21.435114,-55.015266,257.0,-28528.0,0.0
234.0,0.103149414,-0.043762207,0.032470703,-18.862595,-27.51145,-54.61832,257.0,-28528.0,0.0
235.0,0.105651855,-0.039794922,0.03955078,10.977099,-28.91603,-67.84733,257.0,-28528.0,0.0
236.0,0.10168457,-0.0413208,0.046081543,24.480917,-37.9771,-85.53435,257.0,-28528.0,0.0
237.0,0.10229492,-0.055419922,0.061584473,63.190838,-47.770992,-94.08397,257.0,-28528.0,0.0
238.0,0.11639404,-0.061706543,0.07055664,123.65649,-55.79389,-109.26717,257.0,-28528.0,0.0
239.0,0.13659668,-0.051757812,0.06713867,168.63359,-63.20611,-116.824425,257.0,-28528.0,0.0
240.0,0.14422607,-0.03845215,0.0647583,174.74046,-52.67939,-112.03817,257.0,-28528.0,0.0
241.0,0.14434814,-0.026611328,0.06744385,136.12213,-27.633587,-104.51908,257.0,-28528.0,0.0
242.0,0.16143799,-0.012145996,0.062194824,84.10687,11.923664,-86.259544,257.0,-28528.0,0.0
243.0,0.15698242,-0.010864258,0.06677246,22.816793,47.15267,-47.08397,257.0,-28528.0,0.0
244.0,0.15826416,-0.012268066,0.053771973,-39.183205,84.259544,-2.0305343,257.0,-28528.0,0.0
245.0,0.1494751,-0.02166748,0.038085938,-102.01527,112.061066,61.862595,257.0,-28528.0,0.0
246.0,0.13580322,-0.028381348,0.029968262,-145.84734,120.67939,121.24428,257.0,-28528.0,0.0
247.0,0.14733887,-0.026062012,0.01574707,-163.47328,112.71756,174.81679,257.0,-28528.0,0.0
248.0,0.16394043,-0.032836914,0.010131836,-159.53435,102.98473,228.61832,257.0,-28528.0,0.0
249.0,0.19342041,-0.03643799,-0.0052490234,-142.26718,88.40458,250.12978,257.0,-28528.0,0.0
250.0,0.21173096,-0.03314209,-0.0044555664,-119.60305,65.175575,250.12978,257.0,-28528.0,0.0
